us,fiji,denmark,brazil,mexico,ecuador,chile
1,1,1,3,2,1,1
NA,NA,NA,3,2,2,1
NA,NA,NA,3,2,1,1
NA,NA,NA,2,2,1,1
NA,NA,NA,3,2,2,1
NA,NA,NA,2,2,2,1
NA,NA,NA,3,3,1,1
NA,NA,NA,3,2,2,1
NA,NA,NA,3,1,1,1
NA,NA,NA,3,2,1,1
NA,NA,NA,3,2,1,1
NA,NA,NA,3,3,2,1
NA,NA,NA,3,2,1,1
NA,NA,NA,3,2,2,1
NA,NA,NA,3,2,2,1
NA,NA,NA,3,3,2,
NA,NA,NA,2,2,1,NA
NA,NA,NA,2,2,1,NA
NA,NA,NA,2,2,2,NA
NA,NA,NA,2,3,2,NA
NA,NA,NA,2,3,2,NA
NA,NA,NA,2,2,3,NA
NA,NA,NA,2,2,2,NA
NA,NA,NA,2,2,2,NA
NA,NA,NA,2,2,NA,NA
NA,NA,NA,2,2,NA,NA
NA,NA,NA,1,2,NA,NA
NA,NA,NA,NA,2,NA,NA
NA,NA,NA,NA,2,NA,NA
NA,NA,NA,NA,3,NA,NA
NA,NA,NA,NA,2,NA,NA
NA,NA,NA,NA,2,NA,NA
