"","Lower CI","Point Estimate","Upper CI"
"09_1_11",0.660868361404713,0.859429723460327,1.13926485119075
"09_1_12",0.447798742138365,0.566157760814249,0.746026260805081
"09_1_13",0.85778130180927,1.15449915382017,1.91170038791383
"09_1_14",0.898330418394378,1.19625372498936,1.61123853211009
"09_1_15",0.617523395229466,0.695739411913724,0.793138664373037
"09_1_16",0.854077253218884,1.03765932792584,1.24808362369338
"09_1_17",0.363494456455239,0.50828729281768,0.693871748510632
"09_2_21",0.70136930949251,0.973997326203209,1.22445635411068
"09_2_22",0.535411531882497,0.778619232123987,0.95796835412126
"09_2_23",0.650202137281987,0.733320311980988,0.830384226491405
"09_2_24",0.49012943713492,0.555344626168224,0.632042546119329
"09_2_25",0.554400013760745,0.715375113128978,0.869691319660244
"09_2_26",0.583392115369543,0.693256961907423,0.829409004168149
"09_2_27",0.497963747559477,0.676281847639621,0.928392779048708
"09_2_28",0.439434954386192,0.631409317316144,0.898674927444404
"09_2_29",0.504446174650658,0.54572859866117,0.602929670076975
"09_3_31",0.508241402642379,0.60888176607864,0.712587291946489
"09_3_32",0.388344679395066,0.445794325734296,0.509436583086068
"09_3_33",0.645584692374069,0.746857377819549,0.833168146495224
"09_3_35",0.862639732943601,0.966247126163827,1.0756820072364
"09_4_41",0.63753937715546,0.729755165825043,0.957217965556582
"09_4_42",0.611371699868896,0.782258542073785,0.929170938374244
"09_4_43",0.77842460840928,0.850635048821672,0.932373455303788
"09_5_50",0.692759467040673,0.785274244833068,0.894108197213582
"09_5_51",0.668617547776008,0.743012211668928,0.821155706377469
"09_5_52",0.553041481493622,0.655092297513867,0.770101179888092
"09_5_53",0.362504099006311,0.439947985585652,0.559252836776039
"09_1_AA",0.779971983753847,0.861931667988369,1.00472163943689
"09_2_AA",0.561160984282288,0.603432503572951,0.661345874566905
"09_3_AA",0.706215147488742,0.773335718839314,0.912407802109747
"09_4_AA",0.669626665873918,0.776328812416303,0.917809074550405
"09_5_AA",0.609827835673168,0.714585734879155,0.817566782254052
"09_A_AA",0.742049985098473,0.770699774356278,0.817564291910036
