"","Lower CI","Point Estimate","Upper CI"
"09_1_11",0.513263285123419,0.865316821513852,1.41424786230667
"09_1_12",0.414143706085511,0.5039637599094,0.60503573450301
"09_1_13",0.840863123820239,1.02963443844015,1.25807108410168
"09_1_14",0.692455074613473,0.88503937007874,1.11111111111111
"09_1_15",0.655713485882715,0.756824965745532,0.874739110805249
"09_1_16",0.854077253218884,1.03765932792584,1.24808362369338
"09_1_17",0.363494456455239,0.50828729281768,0.693871748510632
"09_2_21",0.665765789739477,0.810716074111167,1.00173074282764
"09_2_22",0.609791001003429,0.745656940462135,0.901518167585491
"09_2_23",0.560121403851586,0.677441806961642,0.805495021122169
"09_2_24",0.530996928232337,0.599558568500709,0.6777788179318
"09_2_25",0.506240578836298,0.616423773819923,0.744393883452073
"09_2_26",0.147913995871932,0.294640383284477,0.625694146729
"09_2_27",0.497963747559477,0.676281847639621,0.928392779048708
"09_2_28",0.46262755659684,1.08454957221943,2.46574566645959
"09_2_29",0.692583700143876,0.750266646350754,0.814100269597346
"09_3_31",0.621757281641015,0.749907675188785,0.895151669177977
"09_3_32",0.298168591031017,0.430014132107036,0.625241181534572
"09_3_33",0.520009018254357,0.620711539727536,0.726525213479603
"09_3_35",0.764293892788651,0.927578772789787,1.09111324214824
"09_4_41",0.874842552790013,1.07347714687164,1.31757545016485
"09_4_42",0.380227864573466,0.561089048185614,0.858295202309105
"09_4_43",0.863082934345473,0.947887266331247,1.0361278783814
"09_5_50",0.368317602296609,0.469927159624539,0.60774543386939
"09_5_51",0.739264066536103,0.849650894437221,0.968634931445503
"09_5_52",0.665264817471602,0.879843632123997,1.15171918484604
"09_5_53",0.553168390926547,0.856072874493927,1.26654687032046
"09_1_AA",0.815460791030194,0.914366335418967,1.0296067958608
"09_2_AA",0.657617901868929,0.73907773024365,0.832675784251305
"09_3_AA",0.717798733219323,0.815688046113729,0.945287339260132
"09_4_AA",0.897475525077785,0.992171962259948,1.08973745681511
"09_5_AA",0.745026379205659,0.899502460748539,1.06665938094309
"09_A_AA",0.770362437528321,0.837492303714567,0.911076232911571
