"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"09_1_11",0.6,0.87,1.25,"0.660868361404713","0.859429723460327","1.13926485119075","cj20_J22","1","0.59","0.89","1.17","ach_noj","0.91","0.7","0.96","1.21","P00_99","0.82","0.72","0.97","1.2"
"09_1_12",0.81,1.2,1.75,"0.447798742138365","0.566157760814249","0.746026260805081","cj20_J22","0.38","0.45","0.57","0.79","ach_noj","0.29","0.44","0.55","0.72","a10_b99_nopneumo","0.2","0.44","0.56","0.79"
"09_1_13",0.83,1.16,1.62,"0.85778130180927","1.15449915382017","1.91170038791383","P05_07","0.35","0.8","1.17","1.76","L00_99","0.32","0.79","1.1","1.51","a10_b99_nopneumo","0.27","0.76","1.04","1.37"
"09_1_14",0.61,0.94,1.39,"0.898330418394378","1.19625372498936","1.61123853211009","ach_noj","1","0.79","1.12","1.59","P00_99","0.79","1.36","1.78","2.27","P05_07","0.22","1.35","1.78","2.27"
"09_1_15",0.68,0.84,1.01,"0.617523395229466","0.695739411913724","0.793138664373037","cj20_J22","1","0.63","0.68","0.74","E40_46","0.45","0.62","0.68","0.74","A41","0.13","0.62","0.68","0.74"
"09_1_16",0.72,1.03,1.43,"0.993888778995753","1.19879518072289","1.40801886792453","a10_b99_nopneumo","0.4","0.96","1.17","1.39","ach_noj","0.27","0.97","1.2","1.41","P00_99","0.14","1.03","1.22","1.42"
"09_1_17",0.36,0.47,0.62,"0.440432348927464","0.72133676092545","0.902976669348351","P00_99","0.52","0.69","0.81","0.91","ach_noj","0.12","0.7","0.8","0.9","K00_99","0.07","0.7","0.81","0.91"
"09_2_21",0.53,0.7,0.94,"0.70136930949251","0.973997326203209","1.22445635411068","cj20_J22","1","0.76","0.9","1.05","P00_99","0.68","0.75","0.88","1.01","ach_noj","0.39","0.74","0.88","1.02"
"09_2_22",0.54,0.72,0.96,"0.535411531882497","0.778619232123987","0.95796835412126","cj20_J22","1","0.44","0.57","0.82","P05_07","0.98","0.43","0.49","0.56","P00_99","0.81","0.43","0.49","0.56"
"09_2_23",0.5,0.62,0.77,"0.650202137281987","0.733320311980988","0.830384226491405","cj20_J22","0.95","0.67","0.78","0.87","P00_99","0.63","0.65","0.76","0.86","N00_99","0.13","0.67","0.77","0.87"
"09_2_24",0.42,0.54,0.68,"0.49012943713492","0.555344626168224","0.632042546119329","ach_noj","0.4","0.48","0.54","0.62","a10_b99_nopneumo","0.17","0.49","0.54","0.62","P00_99","0.1","0.49","0.55","0.62"
"09_2_25",0.44,0.56,0.71,"0.554400013760745","0.715375113128978","0.869691319660244","cj20_J22","0.95","0.7","0.82","0.9","E00_99","0.61","0.69","0.82","0.9","P00_99","0.54","0.74","0.82","0.91"
"09_2_26",0.35,0.47,0.62,"0.583392115369543","0.693256961907423","0.829409004168149","cj20_J22","1","0.51","0.88","1.16","P05_07","0.33","0.57","0.95","1.15","P00_99","0.28","0.42","0.96","1.18"
"09_2_27",0.36,0.48,0.65,"0.594153108691256","0.695459000326691","0.800902934537246","A41","0.06","0.57","0.69","0.8","a10_b99_nopneumo","0.06","0.56","0.69","0.83","K00_99","0.05","0.6","0.69","0.81"
"09_2_28",0.29,0.4,0.55,"0.439434954386192","0.631409317316144","0.898674927444404","cj20_J22","0.79","0.48","0.61","0.86","P00_99","0.66","0.46","0.6","0.75","ach_noj","0.64","0.51","0.61","0.78"
"09_2_29",0.58,0.65,0.73,"0.504446174650658","0.54572859866117","0.602929670076975","P00_99","1","0.54","0.63","0.73","a10_b99_nopneumo","0.26","0.62","0.7","0.76","cj20_J22","0.12","0.61","0.7","0.75"
"09_3_31",0.53,0.63,0.75,"0.508241402642379","0.60888176607864","0.712587291946489","cj20_J22","1","0.56","0.65","0.76","P00_99","0.88","0.49","0.63","0.73","ach_noj","0.8","0.57","0.66","0.74"
"09_3_32",0.38,0.5,0.65,"0.388344679395066","0.445794325734296","0.509436583086068","cj20_J22","1","0.51","0.7","0.81","N00_99","0.11","0.52","0.7","0.8","ach_noj","0.04","0.46","0.69","0.8"
"09_3_33",0.43,0.53,0.66,"0.645584692374069","0.746857377819549","0.833168146495224","cj20_J22","1","0.58","0.69","0.78","E00_99","0.97","0.61","0.69","0.76","Z00_99","0.37","0.62","0.7","0.78"
"09_3_35",0.81,0.95,1.16,"0.862639732943601","0.966247126163827","1.0756820072364","cj20_J22","1","0.79","0.96","1.11","E00_99","0.98","0.75","0.97","1.12","D50_89","0.92","0.76","0.94","1.1"
"09_4_41",0.71,0.85,1.02,"0.63753937715546","0.729755165825043","0.957217965556582","cj20_J22","0.99","0.7","0.76","0.84","a10_b99_nopneumo","0.53","0.69","0.76","0.85","C00_D48","0.49","0.69","0.75","0.82"
"09_4_42",0.76,0.9,1.07,"0.611371699868896","0.782258542073785","0.929170938374244","ach_noj","0.99","0.68","0.75","0.84","cj20_J22","0.95","0.7","0.79","0.89","P00_99","0.77","0.7","0.8","0.89"
"09_4_43",0.9,1.03,1.19,"0.77842460840928","0.850635048821672","0.932373455303788","cj20_J22","1","0.76","0.89","0.99","E00_99","0.98","0.81","0.9","1","a10_b99_nopneumo","0.18","0.81","0.91","1.01"
"09_5_50",0.54,0.72,0.93,"0.692759467040673","0.785274244833068","0.894108197213582","cj20_J22","1","0.69","0.79","0.9","P00_99","0.72","0.76","0.89","1.01","ach_noj","0.33","0.76","0.89","1"
"09_5_51",0.66,0.84,1.05,"0.668617547776008","0.743012211668928","0.821155706377469","cj20_J22","1","0.63","0.7","0.8","K00_99","0.79","0.6","0.69","0.83","a10_b99_nopneumo","0.21","0.6","0.7","0.87"
"09_5_52",0.62,0.85,1.14,"0.553041481493622","0.655092297513867","0.770101179888092","cj20_J22","1","0.61","0.78","0.92","K00_99","0.62","0.62","0.8","0.95","ach_noj","0.39","0.61","0.78","0.9"
"09_5_53",0.54,0.75,1.04,"0.362504099006311","0.439947985585652","0.559252836776039","cj20_J22","1","0.49","0.61","0.8","a10_b99_nopneumo","0.62","0.49","0.61","0.79","A41","0.32","0.51","0.62","0.86"
"09_1_AA",0.73,0.88,1.03,"0.779971983753847","0.861931667988369","1.00472163943689","cj20_J22","1","0.79","0.85","0.95","N39","0.72","0.78","0.85","0.95","P00_99","0.28","0.79","0.85","0.93"
"09_2_AA",0.52,0.6,0.69,"0.561160984282288","0.603432503572951","0.661345874566905","cj20_J22","1","0.6","0.66","0.74","A41","1","0.67","0.73","0.78","K00_99","0.33","0.58","0.73","0.78"
"09_3_AA",0.62,0.79,0.92,"0.706215147488742","0.773335718839314","0.912407802109747","cj20_J22","1","0.71","0.86","0.96","E40_46","0.84","0.59","0.75","0.93","L00_99","0.39","0.62","0.78","0.9"
