"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"09_1_11",0.600180976580085,0.874211276205984,1.24818366753851
"09_1_12",0.809090909090909,1.20473787062427,1.75028888811465
"09_1_13",0.827532494380249,1.15815085158151,1.61750713606089
"09_1_14",0.613262625472008,0.936978992997666,1.38904337262921
"09_1_15",0.68436058144699,0.843289253685971,1.01375110067637
"09_1_16",0.724368048533873,1.02871912693854,1.42652329749104
"09_1_17",0.355797318558095,0.467822607535845,0.622937810579383
"09_2_21",0.527473754953144,0.704440526801566,0.937644787644788
"09_2_22",0.538466729532884,0.721207177814029,0.964862505456133
"09_2_23",0.497481358716099,0.617844128706372,0.766360618226116
"09_2_24",0.423212710975972,0.538401644943125,0.684485241180706
"09_2_25",0.437691184301751,0.555824038211184,0.712011160655202
"09_2_26",0.346415944359821,0.467644656656405,0.621120474325916
"09_2_27",0.362631634697948,0.484765679376871,0.648318752739447
"09_2_28",0.292320318481986,0.401004838109416,0.551574097773228
"09_2_29",0.583489754238938,0.653171676438596,0.73134994643068
"09_3_31",0.528133787678897,0.633469950423611,0.745645190541448
"09_3_32",0.381362862618175,0.5020523138833,0.645233036362134
"09_3_33",0.428482305508089,0.533080374222784,0.655475290888433
"09_3_35",0.813522657089085,0.94654290676497,1.16088586216862
"09_4_41",0.710777422742804,0.85224495175414,1.02103005097007
"09_4_42",0.760894297811259,0.899588001996341,1.07138368076532
"09_4_43",0.898452532361071,1.02744524252904,1.19374613641047
"09_5_50",0.540779111572234,0.715527387958352,0.930317425138467
"09_5_51",0.658901676726159,0.836115635179153,1.05267204921184
"09_5_52",0.615091779656044,0.85053203925462,1.14096406972608
"09_5_53",0.536460686359146,0.75484159458871,1.04167702867647
"09_1_AA",0.729955298259482,0.881036215242962,1.029287373296
"09_2_AA",0.524043918293323,0.603722781472949,0.692419442005103
"09_3_AA",0.621317365265853,0.786364413204121,0.915992739698521
"09_4_AA",0.804257111155266,0.919281486609144,1.05041915986404
"09_5_AA",0.679519329248204,0.818337670791365,0.995111430755095
"09_A_AA",0.660065466229586,0.741189135198914,0.842360767895301
