"","Time trend Estimate (95% CI)"
"09_1_11","0.87 (0.6, 1.25)"
"09_1_12","1.2 (0.81, 1.75)"
"09_1_13","1.16 (0.83, 1.62)"
"09_1_14","0.94 (0.61, 1.39)"
"09_1_15","0.84 (0.68, 1.01)"
"09_1_16","1.03 (0.72, 1.43)"
"09_1_17","0.47 (0.36, 0.62)"
"09_2_21","0.7 (0.53, 0.94)"
"09_2_22","0.72 (0.54, 0.96)"
"09_2_23","0.62 (0.5, 0.77)"
"09_2_24","0.54 (0.42, 0.68)"
"09_2_25","0.56 (0.44, 0.71)"
"09_2_26","0.47 (0.35, 0.62)"
"09_2_27","0.48 (0.36, 0.65)"
"09_2_28","0.4 (0.29, 0.55)"
"09_2_29","0.65 (0.58, 0.73)"
"09_3_31","0.63 (0.53, 0.75)"
"09_3_32","0.5 (0.38, 0.65)"
"09_3_33","0.53 (0.43, 0.66)"
"09_3_35","0.95 (0.81, 1.16)"
"09_4_41","0.85 (0.71, 1.02)"
"09_4_42","0.9 (0.76, 1.07)"
"09_4_43","1.03 (0.9, 1.19)"
"09_5_50","0.72 (0.54, 0.93)"
"09_5_51","0.84 (0.66, 1.05)"
"09_5_52","0.85 (0.62, 1.14)"
"09_5_53","0.75 (0.54, 1.04)"
"09_1_AA","0.88 (0.73, 1.03)"
"09_2_AA","0.6 (0.52, 0.69)"
"09_3_AA","0.79 (0.62, 0.92)"
"09_4_AA","0.92 (0.8, 1.05)"
"09_5_AA","0.82 (0.68, 1)"
"09_A_AA","0.74 (0.66, 0.84)"
