"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"09_1_11","0.86 (0.66, 1.14)","cj20_J22","1","0.89 (0.59, 1.17)","ach_noj","0.91","0.96 (0.7, 1.21)","P00_99","0.82","0.97 (0.72, 1.2)"
"09_1_12","0.57 (0.45, 0.75)","cj20_J22","0.38","0.57 (0.45, 0.79)","ach_noj","0.29","0.55 (0.44, 0.72)","a10_b99_nopneumo","0.2","0.56 (0.44, 0.79)"
"09_1_13","1.15 (0.86, 1.91)","P05_07","0.35","1.17 (0.8, 1.76)","L00_99","0.32","1.1 (0.79, 1.51)","a10_b99_nopneumo","0.27","1.04 (0.76, 1.37)"
"09_1_14","1.2 (0.9, 1.61)","ach_noj","1","1.12 (0.79, 1.59)","P00_99","0.79","1.78 (1.36, 2.27)","P05_07","0.22","1.78 (1.35, 2.27)"
"09_1_15","0.7 (0.62, 0.79)","cj20_J22","1","0.68 (0.63, 0.74)","E40_46","0.45","0.68 (0.62, 0.74)","A41","0.13","0.68 (0.62, 0.74)"
"09_1_16","1.2 (0.99, 1.41)","a10_b99_nopneumo","0.4","1.17 (0.96, 1.39)","ach_noj","0.27","1.2 (0.97, 1.41)","P00_99","0.14","1.22 (1.03, 1.42)"
"09_1_17","0.72 (0.44, 0.9)","P00_99","0.52","0.81 (0.69, 0.91)","ach_noj","0.12","0.8 (0.7, 0.9)","K00_99","0.07","0.81 (0.7, 0.91)"
"09_2_21","0.97 (0.7, 1.22)","cj20_J22","1","0.9 (0.76, 1.05)","P00_99","0.68","0.88 (0.75, 1.01)","ach_noj","0.39","0.88 (0.74, 1.02)"
"09_2_22","0.78 (0.54, 0.96)","cj20_J22","1","0.57 (0.44, 0.82)","P05_07","0.98","0.49 (0.43, 0.56)","P00_99","0.81","0.49 (0.43, 0.56)"
"09_2_23","0.73 (0.65, 0.83)","cj20_J22","0.95","0.78 (0.67, 0.87)","P00_99","0.63","0.76 (0.65, 0.86)","N00_99","0.13","0.77 (0.67, 0.87)"
"09_2_24","0.56 (0.49, 0.63)","ach_noj","0.4","0.54 (0.48, 0.62)","a10_b99_nopneumo","0.17","0.54 (0.49, 0.62)","P00_99","0.1","0.55 (0.49, 0.62)"
"09_2_25","0.72 (0.55, 0.87)","cj20_J22","0.95","0.82 (0.7, 0.9)","E00_99","0.61","0.82 (0.69, 0.9)","P00_99","0.54","0.82 (0.74, 0.91)"
"09_2_26","0.69 (0.58, 0.83)","cj20_J22","1","0.88 (0.51, 1.16)","P05_07","0.33","0.95 (0.57, 1.15)","P00_99","0.28","0.96 (0.42, 1.18)"
"09_2_27","0.7 (0.59, 0.8)","A41","0.06","0.69 (0.57, 0.8)","a10_b99_nopneumo","0.06","0.69 (0.56, 0.83)","K00_99","0.05","0.69 (0.6, 0.81)"
"09_2_28","0.63 (0.44, 0.9)","cj20_J22","0.79","0.61 (0.48, 0.86)","P00_99","0.66","0.6 (0.46, 0.75)","ach_noj","0.64","0.61 (0.51, 0.78)"
"09_2_29","0.55 (0.5, 0.6)","P00_99","1","0.63 (0.54, 0.73)","a10_b99_nopneumo","0.26","0.7 (0.62, 0.76)","cj20_J22","0.12","0.7 (0.61, 0.75)"
"09_3_31","0.61 (0.51, 0.71)","cj20_J22","1","0.65 (0.56, 0.76)","P00_99","0.88","0.63 (0.49, 0.73)","ach_noj","0.8","0.66 (0.57, 0.74)"
"09_3_32","0.45 (0.39, 0.51)","cj20_J22","1","0.7 (0.51, 0.81)","N00_99","0.11","0.7 (0.52, 0.8)","ach_noj","0.04","0.69 (0.46, 0.8)"
"09_3_33","0.75 (0.65, 0.83)","cj20_J22","1","0.69 (0.58, 0.78)","E00_99","0.97","0.69 (0.61, 0.76)","Z00_99","0.37","0.7 (0.62, 0.78)"
"09_3_35","0.97 (0.86, 1.08)","cj20_J22","1","0.96 (0.79, 1.11)","E00_99","0.98","0.97 (0.75, 1.12)","D50_89","0.92","0.94 (0.76, 1.1)"
"09_4_41","0.73 (0.64, 0.96)","cj20_J22","0.99","0.76 (0.7, 0.84)","a10_b99_nopneumo","0.53","0.76 (0.69, 0.85)","C00_D48","0.49","0.75 (0.69, 0.82)"
"09_4_42","0.78 (0.61, 0.93)","ach_noj","0.99","0.75 (0.68, 0.84)","cj20_J22","0.95","0.79 (0.7, 0.89)","P00_99","0.77","0.8 (0.7, 0.89)"
"09_4_43","0.85 (0.78, 0.93)","cj20_J22","1","0.89 (0.76, 0.99)","E00_99","0.98","0.9 (0.81, 1)","a10_b99_nopneumo","0.18","0.91 (0.81, 1.01)"
"09_5_50","0.79 (0.69, 0.89)","cj20_J22","1","0.79 (0.69, 0.9)","P00_99","0.72","0.89 (0.76, 1.01)","ach_noj","0.33","0.89 (0.76, 1)"
"09_5_51","0.74 (0.67, 0.82)","cj20_J22","1","0.7 (0.63, 0.8)","K00_99","0.79","0.69 (0.6, 0.83)","a10_b99_nopneumo","0.21","0.7 (0.6, 0.87)"
"09_5_52","0.66 (0.55, 0.77)","cj20_J22","1","0.78 (0.61, 0.92)","K00_99","0.62","0.8 (0.62, 0.95)","ach_noj","0.39","0.78 (0.61, 0.9)"
"09_5_53","0.44 (0.36, 0.56)","cj20_J22","1","0.61 (0.49, 0.8)","a10_b99_nopneumo","0.62","0.61 (0.49, 0.79)","A41","0.32","0.62 (0.51, 0.86)"
"09_1_AA","0.86 (0.78, 1)","cj20_J22","1","0.85 (0.79, 0.95)","N39","0.72","0.85 (0.78, 0.95)","P00_99","0.28","0.85 (0.79, 0.93)"
"09_2_AA","0.6 (0.56, 0.66)","cj20_J22","1","0.66 (0.6, 0.74)","A41","1","0.73 (0.67, 0.78)","K00_99","0.33","0.73 (0.58, 0.78)"
