"","Lower CI","Point Estimate","Upper CI"
"92_1",0.677279305354559,0.831261101243339,1.01298701298701
"92_2",0.294529776340609,0.40936329588015,0.564281938127461
"92_3",0.638403990024938,0.81658692185008,1.04070339277731
"92_4",0.726345218698942,0.837879968823071,0.958986615107684
"92_5",0.526748838093442,0.615224389320205,0.711411821566301
"92_6",0.589116235710982,0.715944618133095,0.859056806002144
"92_7",0.469524699032,0.592058917707333,0.713899613899614
"92_8",0.575604195122902,0.639212175470009,0.709441836550866
"92_9",0.412268188302425,0.53021443192265,0.715125270646458
"92_10",0.480956055721689,0.539894782989917,0.603680170493056
"92_11",0.42745438748914,0.522292993630573,0.631578947368421
"92_12",0.276288659793814,0.369146005509642,0.478571428571429
"92_13",0.466855006726384,0.545077617907648,0.637586605080831
"92_14",0.634460065098681,0.763303533418476,0.908308004052685
"92_15",0.544444444444444,0.696682464454976,0.890909090909091
