"","Lower CI","Point Estimate","Upper CI"
"92_1",0.816753926701571,0.970954356846473,1.14987714987715
"92_2",0.780143119190389,1.0139146567718,1.32164449818622
"92_3",0.576576576576577,0.710124826629681,0.869269949066214
"92_4",0.726345218698942,0.837879968823071,0.958986615107684
"92_5",0.663193187072747,0.795056906555545,0.950006946475577
"92_6",0.638130594317194,0.752229000469263,0.882721409630951
"92_7",0.548660619421898,0.658710366939793,0.793902962644912
"92_8",0.617568832650314,0.725504427347946,0.860996754101471
"92_9",0.61785141635489,0.855029585798817,1.1647501929796
"92_10",0.497573245074457,0.554979720594863,0.620254602862438
"92_11",0.42523768366465,0.520084566596195,0.630769230769231
"92_12",0.258687258687259,0.326034063260341,0.408536585365854
"92_13",0.807352663219182,0.96851429573759,1.150806994997
"92_14",0.868270364883775,1.0193291642979,1.20013386880857
"92_15",0.576414292279412,0.717073170731707,0.901840490797546
