"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"92_1","0.83 (0.68, 1.01)","K00_99","0.95","0.87 (0.71, 1.06)","N00_99","0.93","0.8 (0.64, 0.99)","A10_B99_nopneumo","0.93","0.81 (0.65, 1)"
"92_2","0.41 (0.29, 0.56)","P00_99","0.99","0.48 (0.34, 0.71)","cJ20_J22","0.98","0.53 (0.37, 0.76)","N00_99","0.98","0.65 (0.49, 0.83)"
"92_3","0.82 (0.64, 1.04)","cJ20_J22","0.86","0.81 (0.62, 1.04)","N00_99","0.38","0.76 (0.6, 0.95)","Q00_99","0.31","0.76 (0.6, 0.95)"
"92_4","0.84 (0.73, 0.96)","cJ20_J22","0.08","0.85 (0.73, 0.96)","Q00_99","0.06","0.84 (0.73, 0.96)","A10_B99_nopneumo","0.06","0.85 (0.74, 0.96)"
"92_5","0.62 (0.53, 0.71)","cJ20_J22","1","0.67 (0.57, 0.8)","ach_noj","0.51","0.67 (0.56, 0.79)","N39","0.5","0.66 (0.56, 0.77)"
"92_6","0.72 (0.59, 0.86)","cJ20_J22","1","0.72 (0.61, 0.84)","ach_noj","0.87","0.65 (0.55, 0.76)","N39","0.48","0.64 (0.55, 0.75)"
"92_7","0.59 (0.47, 0.71)","cJ20_J22","1","0.59 (0.49, 0.7)","E00_99","0.99","0.62 (0.49, 0.78)","Z00_99","0.81","0.61 (0.5, 0.74)"
"92_8","0.64 (0.58, 0.71)","cJ20_J22","1","0.59 (0.51, 0.71)","Z00_99","0.15","0.59 (0.51, 0.72)","ach_noj","0.06","0.59 (0.51, 0.73)"
"92_9","0.53 (0.41, 0.72)","cJ20_J22","1","0.34 (0.26, 0.45)","ach_noj","0.75","0.34 (0.26, 0.42)","P05_07","0.58","0.34 (0.27, 0.5)"
"92_10","0.54 (0.48, 0.6)","K00_99","0.99","0.57 (0.5, 0.64)","cJ20_J22","0.95","0.56 (0.49, 0.64)","A10_B99_nopneumo","0.27","0.55 (0.48, 0.62)"
"92_11","0.52 (0.43, 0.63)","cJ20_J22","0.98","0.5 (0.41, 0.61)","ach_noj","0.56","0.52 (0.43, 0.63)","pandemic","0.21","0.52 (0.42, 0.63)"
"92_12","0.37 (0.28, 0.48)","ach_noj","0.35","0.37 (0.28, 0.48)","Z00_99","0.34","0.35 (0.27, 0.45)","P00_99","0.26","0.38 (0.31, 0.47)"
"92_13","0.55 (0.47, 0.64)","P00_99","1","0.67 (0.57, 0.76)","cJ20_J22","1","0.94 (0.79, 1.1)","Z00_99","0.1","0.93 (0.78, 1.09)"
"92_14","0.76 (0.63, 0.91)","cJ20_J22","1","0.94 (0.78, 1.11)","Z00_99","0.98","0.86 (0.73, 1.03)","K00_99","0.37","0.87 (0.73, 1.04)"
"92_15","0.7 (0.54, 0.89)","pandemic","0.89","0.7 (0.55, 0.9)","P00_99","0.66","0.72 (0.57, 0.93)","ach_noj","0.51","0.69 (0.54, 0.88)"
