"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","92_1",0,0,0.082,0.918
"2","92_2",0.27,0.73,0,0
"3","92_3",0.192,0,0,0.808
"4","92_4",0.958,0,0.042,0
"5","92_5",0.879,0,0,0.121
"6","92_6",0.111,0,0.829,0.06
"7","92_7",0.486,0,0.514,0
"8","92_8",0.938,0,0.033,0.029
"9","92_9",0.957,0.043,0,0
"10","92_10",0.253,0,0.504,0.243
"11","92_11",0.88,0.12,0,0
"12","92_12",0,0.001,0.151,0.847
"13","92_13",0.992,0,0.008,0
"14","92_14",0.702,0,0,0.298
"15","92_15",0,0,0.122,0.877
