"","Best Estimate (95% CI)"
"9_1","0.69 (0.55, 0.86)"
"9_10","0.87 (0.7, 1.05)"
"9_11","0.46 (0.37, 0.58)"
"9_12","1.67 (1.27, 2.11)"
"9_13","0.88 (0.74, 1.12)"
"9_14","0.91 (0.72, 1.13)"
"9_15","0.5 (0.39, 0.65)"
"9_18","0.52 (0.35, 0.75)"
"9_19","0.78 (0.55, 1.08)"
"9_2","0.58 (0.42, 0.82)"
"9_21","0.68 (0.2, 2.02)"
"9_22","0.81 (0.57, 1.15)"
"9_23","0.38 (0.22, 0.6)"
"9_24","0.64 (0.37, 0.89)"
"9_3","0.77 (0.53, 1.1)"
"9_4","1.09 (0.91, 1.31)"
"9_5","0.67 (0.47, 0.96)"
"9_6","0.74 (0.49, 1.21)"
"9_7","1.57 (1.22, 2.02)"
"9_8","0.79 (0.63, 1)"
"9_9","0.73 (0.59, 0.88)"
