"","STL+PCA Estimate (95% CI)"
"9_1","0.66 (0.53, 0.79)"
"9_10","0.73 (0.61, 0.86)"
"9_11","0.58 (0.51, 0.65)"
"9_12","1.59 (1.29, 1.97)"
"9_13","0.85 (0.64, 1.11)"
"9_14","1.15 (0.99, 1.32)"
"9_15","1.08 (0.9, 1.3)"
"9_18","0.38 (0.27, 0.5)"
"9_19","1.15 (0.93, 1.42)"
"9_2","0.57 (0.44, 0.73)"
"9_21","0.68 (0.2, 2.02)"
"9_22","0.88 (0.71, 1.1)"
"9_23","3.17 (2.25, 4.54)"
"9_24","3.74 (2.33, 5.93)"
"9_3","1.03 (0.79, 1.31)"
"9_4","1.09 (0.91, 1.31)"
"9_5","0.67 (0.47, 0.96)"
"9_6","0.39 (0.27, 0.56)"
"9_7","1.39 (1.02, 1.84)"
"9_8","0.92 (0.78, 1.07)"
"9_9","0.52 (0.43, 0.63)"
