"","Time trend Estimate (95% CI)"
"9_1","0.49 (0.36, 0.66)"
"9_10","0.47 (0.35, 0.61)"
"9_11","0.27 (0.2, 0.36)"
"9_12","1.66 (1.14, 2.37)"
"9_13","1.1 (0.81, 1.52)"
"9_14","0.71 (0.5, 0.96)"
"9_15","0.53 (0.37, 0.74)"
"9_18","0.23 (0.15, 0.39)"
"9_19","0.5 (0.28, 0.81)"
"9_2","0.42 (0.25, 0.7)"
"9_21","0.42 (0.29, 0.62)"
"9_22","0.61 (0.36, 0.99)"
"9_23","0.08 (0.01, 0.27)"
"9_24","0.05 (0, 0.2)"
"9_3","0.41 (0.25, 0.67)"
"9_4","0.82 (0.52, 1.28)"
"9_5","0.83 (0.59, 1.15)"
"9_6","0.53 (0.39, 0.71)"
"9_7","1.23 (0.82, 1.82)"
"9_8","0.7 (0.52, 0.95)"
"9_9","1.17 (0.88, 1.52)"
