"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"9_1","0.554482066458848","0.686886708296164","0.858106040276238","P00_99","1","0.8","0.98","1.19","S00_T99","0.43","0.83","1.01","1.21","ach_noj","0.15","0.84","1.01","1.23"
"9_10","0.698239010934786","0.87012987012987","1.04987625722658","ach_noj","1","0.75","0.95","1.2","P05_07","1","0.54","0.75","1.04","pandemic","0.27","0.53","0.73","1.02"
"9_11","0.367023496021632","0.462680412371134","0.582857142857143","P00_99","1","0.58","0.73","0.92","P05_07","0.22","0.58","0.72","0.9","cJ20_J22","0.16","0.66","0.81","0.98"
"9_12","1.27327935222672","1.67065073041169","2.107202680067","cJ20_J22","1","1.26","1.9","2.44","Q00_99","0.4","1.27","1.9","2.42","ach_noj","0.25","1.13","1.55","2.35"
"9_13","0.741927816079692","0.878120411160059","1.12337388948263","cJ20_J22","1","0.83","1.07","1.28","P00_99","0.19","0.86","1.08","1.28","Q00_99","0.15","0.85","1.07","1.27"
"9_14","0.724707893986891","0.911796342775188","1.13022222222222","P00_99","1","1.15","1.38","1.64","ach_noj","0.5","1.13","1.39","1.66","P05_07","0.3","1.24","1.51","1.8"
"9_18","0.347989949748744","0.521068472535741","0.748648648648649","P00_99","1","0.84","1.32","2.05","cJ20_J22","0.53","0.71","1.27","2.1","ach_noj","0.33","0.69","1.2","2"
"9_3","0.526418055022633","0.773211567732116","1.09722187846594","P00_99","1","0.84","1.2","1.65","cJ20_J22","0.66","0.88","1.26","1.75","P05_07","0.4","1.08","1.59","2.27"
"9_5","0.605226960110041","0.857142857142857","1.11392405063291","P00_99","0.57","0.76","0.98","1.14","P05_07","0.19","0.86","0.99","1.15","pandemic","0.11","0.86","1","1.15"
"9_6","0.487137354182419","0.735235567352356","1.20896357892781","P05_07","0.98","0.41","0.62","0.92","P00_99","0.85","1.09","1.37","1.7","ach_noj","0.22","1.25","1.5","1.78"
"9_7","1.21813186813187","1.57234042553191","2.02285640185981","P00_99","1","1.55","2.01","2.56","P05_07","0.46","1.55","1.98","2.53","pandemic","0.14","1.5","1.94","2.46"
"9_8","0.633863080684597","0.785011355034065","1.00002413127413","P00_99","1","0.86","1.04","1.28","P05_07","0.36","1.05","1.27","1.52","ach_noj","0.34","0.89","1.12","1.38"
"9_9","0.59495696286915","0.72728280141844","0.876243757537542","cJ20_J22","1","0.92","1.21","1.51","K00_99","0.74","0.98","1.29","1.59","ach_noj","0.7","0.79","1.13","1.46"
