"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"9_1","0.69 (0.55, 0.86)","P00_99","1","0.98 (0.8, 1.19)","S00_T99","0.43","1.01 (0.83, 1.21)","ach_noj","0.15","1.01 (0.84, 1.23)"
"9_10","0.87 (0.7, 1.05)","ach_noj","1","0.95 (0.75, 1.2)","P05_07","1","0.75 (0.54, 1.04)","pandemic","0.27","0.73 (0.53, 1.02)"
"9_11","0.46 (0.37, 0.58)","P00_99","1","0.73 (0.58, 0.92)","P05_07","0.22","0.72 (0.58, 0.9)","cJ20_J22","0.16","0.81 (0.66, 0.98)"
"9_12","1.67 (1.27, 2.11)","cJ20_J22","1","1.9 (1.26, 2.44)","Q00_99","0.4","1.9 (1.27, 2.42)","ach_noj","0.25","1.55 (1.13, 2.35)"
"9_13","0.88 (0.74, 1.12)","cJ20_J22","1","1.07 (0.83, 1.28)","P00_99","0.19","1.08 (0.86, 1.28)","Q00_99","0.15","1.07 (0.85, 1.27)"
"9_14","0.91 (0.72, 1.13)","P00_99","1","1.38 (1.15, 1.64)","ach_noj","0.5","1.39 (1.13, 1.66)","P05_07","0.3","1.51 (1.24, 1.8)"
"9_18","0.52 (0.35, 0.75)","P00_99","1","1.32 (0.84, 2.05)","cJ20_J22","0.53","1.27 (0.71, 2.1)","ach_noj","0.33","1.2 (0.69, 2)"
"9_3","0.77 (0.53, 1.1)","P00_99","1","1.2 (0.84, 1.65)","cJ20_J22","0.66","1.26 (0.88, 1.75)","P05_07","0.4","1.59 (1.08, 2.27)"
"9_5","0.86 (0.61, 1.11)","P00_99","0.57","0.98 (0.76, 1.14)","P05_07","0.19","0.99 (0.86, 1.15)","pandemic","0.11","1 (0.86, 1.15)"
"9_6","0.74 (0.49, 1.21)","P05_07","0.98","0.62 (0.41, 0.92)","P00_99","0.85","1.37 (1.09, 1.7)","ach_noj","0.22","1.5 (1.25, 1.78)"
"9_7","1.57 (1.22, 2.02)","P00_99","1","2.01 (1.55, 2.56)","P05_07","0.46","1.98 (1.55, 2.53)","pandemic","0.14","1.94 (1.5, 2.46)"
"9_8","0.79 (0.63, 1)","P00_99","1","1.04 (0.86, 1.28)","P05_07","0.36","1.27 (1.05, 1.52)","ach_noj","0.34","1.12 (0.89, 1.38)"
"9_9","0.73 (0.59, 0.88)","cJ20_J22","1","1.21 (0.92, 1.51)","K00_99","0.74","1.29 (0.98, 1.59)","ach_noj","0.7","1.13 (0.79, 1.46)"
