"","Lower CI","Point Estimate","Upper CI"
"ac_pneumonia_Age1",0.774137680960141,0.931089743589744,1.14595660749507
"ac_pneumonia_Age1_0",0.773035887487876,0.951073985680191,1.16350364963504
"ac_pneumonia_Age1_1",0.754132231404959,0.933503836317136,1.23728813559322
"ac_pneumonia_Age2",0.522935779816514,0.647727272727273,0.799065420560748
"ac_pneumonia_Age3",0.425860599863667,0.547619047619048,0.69
"ac_pneumonia_Age4",0.453038674033149,0.645669291338583,0.921348314606742
"ac_pneumonia_Age5",0.777573529411765,0.972413793103448,1.18156424581006
"ac_pneumonia_Age6",0.97037037037037,1.23004694835681,1.99239543726236
"HP_all_raw_Age1",0.577639751552795,0.738095238095238,0.948979591836735
"RP_all_raw_Age1",0.383259911894273,0.73109243697479,1.16
"VS_SP_all_raw_Age1",0.523746701846966,0.68566493955095,0.900226757369615
