"","Lower CI","Point Estimate","Upper CI"
"ac_pneumonia_Age1",0.777257525083612,0.952459016393443,1.15621890547264
"ac_pneumonia_Age1_0",0.719297864046381,0.922453703703704,1.16520467836257
"ac_pneumonia_Age1_1",0.763598326359833,0.9125,1.0960960960961
"ac_pneumonia_Age2",0.635687732342007,0.846534653465347,1.16326530612245
"ac_pneumonia_Age3",0.323943661971831,0.543307086614173,0.945205479452055
"ac_pneumonia_Age4",0.41,0.569444444444444,0.796116504854369
"ac_pneumonia_Age5",0.793621013133208,1.06281407035176,1.43389830508475
"ac_pneumonia_Age6",0.845161290322581,1.08939708939709,1.39733333333333
"HP_all_raw_Age1",0.53448275862069,0.715384615384615,0.958762886597938
"RP_all_raw_Age1",0.517857142857143,0.696,0.945652173913043
"VS_SP_all_raw_Age1",0.542331229172724,0.721163174393664,0.947494033412888
