"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"ac_pneumonia_Age1",0.576388888888889,0.827635327635328,1.18935516888434
"ac_pneumonia_Age1_0",0.532380371149236,0.799398194583751,1.19311377245509
"ac_pneumonia_Age1_1",0.549698795180723,0.835240274599542,1.25862068965517
"ac_pneumonia_Age2",0.468493150684932,0.665369649805447,0.94475138121547
"ac_pneumonia_Age3",0.243816254416961,0.363157894736842,0.556451612903226
"ac_pneumonia_Age4",0.267100977198697,0.429319371727749,0.706896551724138
"ac_pneumonia_Age5",0.633233532934132,0.877593360995851,1.20857142857143
"ac_pneumonia_Age6",0.713896457765668,1.03968253968254,1.48863636363636
"HP_all_raw_Age1",0.379591836734694,0.636986301369863,1.04494382022472
"RP_all_raw_Age1",0.197267753255148,0.36864406779661,0.654135338345865
"VS_SP_all_raw_Age1",0.551388888888889,0.874449339207048,1.35034013605442
