"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"ac_pneumonia_Age1","0.93 (0.77, 1.15)","ach_noj","0.09","0.93 (0.77, 1.1)","L00_L99","0.08","0.93 (0.77, 1.1)","Q00_Q99","0.07","0.92 (0.77, 1.1)"
"ac_pneumonia_Age1_0","0.95 (0.77, 1.16)","R00_R99","0.14","0.95 (0.76, 1.16)","A00_B99_norota","0.08","0.95 (0.76, 1.17)","ach_noj","0.08","0.95 (0.78, 1.16)"
"ac_pneumonia_Age1_1","0.93 (0.75, 1.24)","ach_noj","0.49","0.87 (0.73, 1.03)","R00_R99","0.12","0.87 (0.73, 1.03)","L00_L99","0.1","0.87 (0.73, 1.03)"
"ac_pneumonia_Age2","0.65 (0.52, 0.8)","L00_L99","0.22","0.65 (0.52, 0.8)","ach_noj","0.09","0.65 (0.53, 0.79)","R00_R99","0.07","0.65 (0.54, 0.78)"
"ac_pneumonia_Age3","0.55 (0.43, 0.69)","L00_L99","0.22","0.54 (0.42, 0.69)","R00_R99","0.16","0.54 (0.43, 0.68)","K00_K95","0.12","0.55 (0.41, 0.7)"
"ac_pneumonia_Age4","0.65 (0.45, 0.92)","M00_M99","0.66","0.75 (0.57, 0.99)","N00_N99","0.55","0.73 (0.56, 0.94)","pandemic","0.44","0.73 (0.55, 0.96)"
"ac_pneumonia_Age5","0.97 (0.78, 1.18)","H00_H99","0.1","0.98 (0.83, 1.19)","A00_B99_norota","0.09","0.98 (0.83, 1.19)","N00_N99","0.08","0.98 (0.83, 1.18)"
"ac_pneumonia_Age6","1.23 (0.97, 1.99)","H00_H99","0.87","1.65 (1.27, 2.37)","ach_noj","0.21","1.52 (1.24, 1.85)","E00_E89","0.11","1.54 (1.27, 1.86)"
"HP_all_raw_Age1","0.74 (0.58, 0.95)","L00_L99","0.72","0.72 (0.57, 0.94)","R00_R99","0.12","0.72 (0.58, 0.94)","ach_noj","0.12","0.71 (0.57, 0.89)"
"RP_all_raw_Age1","0.73 (0.38, 1.16)","ach_noj","0.46","0.82 (0.57, 1.18)","A00_B99_norota","0.25","0.83 (0.57, 1.21)","Q00_Q99","0.16","0.84 (0.58, 1.21)"
"VS_SP_all_raw_Age1","0.69 (0.52, 0.9)","ach_noj","0.1","0.68 (0.52, 0.87)","A00_B99_norota","0.08","0.69 (0.53, 0.87)","Q00_Q99","0.08","0.68 (0.53, 0.87)"
