"","Best Estimate (95% CI)"
"9_1","0.83 (0.56, 1.16)"
"9_10","0.83 (0.62, 1.12)"
"9_11","1.01 (0.85, 1.26)"
"9_12","0.73 (0.62, 0.94)"
"9_13","0.8 (0.52, 1.19)"
"9_14","1.17 (0.97, 1.42)"
"9_15","0.87 (0.73, 1.04)"
"9_16","0.9 (0.74, 1.12)"
"9_17","0.73 (0.59, 0.92)"
"9_19","0.68 (0.57, 0.84)"
"9_2","0.96 (0.75, 1.22)"
"9_20","1.01 (0.87, 1.19)"
"9_21","0.85 (0.73, 0.98)"
"9_22","0.8 (0.61, 1.12)"
"9_23","1.02 (0.79, 1.31)"
"9_24","0.71 (0.54, 0.89)"
"9_25","0.85 (0.66, 1.1)"
"9_26","0.73 (0.46, 0.88)"
"9_27","1.25 (1.08, 1.44)"
"9_28","0.88 (0.65, 1.16)"
"9_29","0.81 (0.53, 1.19)"
"9_30","0.87 (0.76, 1)"
"9_31","1.08 (0.78, 1.52)"
"9_32","0.88 (0.69, 1.1)"
"9_4","0.92 (0.75, 1.12)"
"9_5","0.81 (0.49, 1.25)"
"9_7","0.97 (0.83, 1.14)"
"9_8","1.18 (0.99, 1.4)"
"9_9","1.08 (0.95, 1.21)"
