"","Lower CI","Point Estimate","Upper CI"
"9_1",0.564673157162726,0.828571428571429,1.15669515669516
"9_10",0.624318005493699,0.832451499118166,1.12114014251781
"9_11",0.847983025286104,1.01191658391261,1.25544147843942
"9_12",0.621161438773585,0.733490566037736,0.9358074222668
"9_13",0.522772277227723,0.795979899497487,1.19097744360902
"9_14",0.970165745856354,1.17170818505338,1.42224622030238
"9_15",0.725461098155607,0.870737913486005,1.03950546964733
"9_16",0.737963693764799,0.898174831892411,1.121103117506
"9_17",0.587976539589443,0.729090909090909,0.92183908045977
"9_19",0.570416666666667,0.680755842864247,0.837308868501529
"9_2",0.747079459475435,0.962546816479401,1.2238459901243
"9_20",0.867956744450768,1.0079312623926,1.1895707971176
"9_21",0.73114417650077,0.850238663484487,0.980055020632737
"9_22",0.612762781484374,0.802955665024631,1.1242026855236
"9_23",0.835073068893528,1.07238605898123,1.36986301369863
"9_24",0.535266118563392,0.710511200459506,0.891226438273054
"9_25",0.664095972579263,0.851648351648352,1.09929078014184
"9_26",0.459562837371647,0.730129390018484,0.882201042456229
"9_27",1.07716959947827,1.25240384615385,1.43790248390064
"9_28",0.646378575776019,0.876961189099917,1.16450564012941
"9_29",0.532426778242678,0.805379746835443,1.18648018648019
"9_30",0.763440860215054,0.867028493894166,1.00080269317537
"9_31",0.643181818181818,1.132,1.50531914893617
"9_32",0.690674753601213,0.879343629343629,1.10293899038814
"9_4",0.749604251494412,0.922101449275362,1.11622807017544
"9_5",0.48665493977942,0.808868501529052,1.24620870558037
"9_7",0.825298329355609,0.973536036036036,1.13974950560316
"9_8",0.993194975322688,1.18405492642466,1.39781983129897
"9_9",0.94578313253012,1.07718696397942,1.21048573631457
