"","STL+PCA Estimate (95% CI)"
"9_1","0.56 (0.37, 0.85)"
"9_10","1.18 (0.68, 1.95)"
"9_11","1.03 (0.81, 1.29)"
"9_12","0.81 (0.49, 1.32)"
"9_13","0.71 (0.46, 1.1)"
"9_14","0.91 (0.73, 1.11)"
"9_15","0.57 (0.43, 0.76)"
"9_16","0.59 (0.43, 0.8)"
"9_17","0.36 (0.16, 0.78)"
"9_19","0.7 (0.41, 1.17)"
"9_2","0.96 (0.72, 1.3)"
"9_20","0.85 (0.61, 1.17)"
"9_21","0.7 (0.57, 0.87)"
"9_22","1.21 (0.85, 1.73)"
"9_23","1.02 (0.79, 1.31)"
"9_24","0.6 (0.47, 0.78)"
"9_25","0.79 (0.56, 1.13)"
"9_26","1.05 (0.41, 2.45)"
"9_27","1.01 (0.82, 1.22)"
"9_28","1.15 (0.81, 1.59)"
"9_29","0.51 (0.19, 1.29)"
"9_30","0.83 (0.64, 1.07)"
"9_31","1.08 (0.78, 1.52)"
"9_32","0.8 (0.6, 1.05)"
"9_4","0.91 (0.7, 1.16)"
"9_5","0.51 (0.32, 0.83)"
"9_7","0.85 (0.67, 1.06)"
"9_8","0.99 (0.81, 1.21)"
"9_9","1.06 (0.89, 1.24)"
