"","Time trend Estimate (95% CI)"
"9_1","0.54 (0.34, 0.86)"
"9_10","0.75 (0.49, 1.13)"
"9_11","1.22 (0.92, 1.59)"
"9_12","0.77 (0.54, 1.08)"
"9_13","0.73 (0.46, 1.13)"
"9_14","0.91 (0.69, 1.19)"
"9_15","1 (0.71, 1.42)"
"9_16","0.78 (0.57, 1.04)"
"9_17","0.99 (0.65, 1.53)"
"9_19","1.11 (0.82, 1.52)"
"9_2","1.16 (0.81, 1.68)"
"9_20","1.11 (0.74, 1.61)"
"9_21","0.82 (0.59, 1.16)"
"9_22","1.14 (0.81, 1.62)"
"9_23","1.01 (0.61, 1.62)"
"9_24","0.74 (0.56, 0.98)"
"9_25","1.13 (0.74, 1.74)"
"9_26","0.73 (0.51, 1.04)"
"9_27","1.12 (0.79, 1.61)"
"9_28","1.04 (0.74, 1.43)"
"9_29","0.77 (0.47, 1.19)"
"9_30","0.96 (0.69, 1.37)"
"9_31","1.35 (0.87, 2.12)"
"9_32","0.67 (0.39, 1.14)"
"9_4","1.26 (0.81, 1.97)"
"9_5","0.72 (0.49, 1.1)"
"9_7","1.19 (0.89, 1.56)"
"9_8","1.34 (0.96, 1.86)"
"9_9","1.05 (0.76, 1.45)"
