"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"9_1","0.564673157162726","0.828571428571429","1.15669515669516","cJ20_J22","0.99","0.44","0.68","1.06","P05_07","0.38","0.44","0.67","1.03","ach_noj","0.29","0.45","0.69","1.08"
"9_10","0.624318005493699","0.832451499118166","1.12114014251781","cJ20_J22","1","0.66","0.88","1.2","ach_noj","0.92","0.62","0.86","1.12","P00_99","0.9","0.71","0.89","1.15"
"9_11","0.847983025286104","1.01191658391261","1.25544147843942","cJ20_J22","1","0.9","1.17","1.39","P00_99","0.23","0.92","1.17","1.39","ach_noj","0.22","0.96","1.19","1.41"
"9_12","0.621161438773585","0.733490566037736","0.9358074222668","cJ20_J22","1","0.61","0.81","1.06","P05_07","0.18","0.6","0.81","1.04","P00_99","0.11","0.59","0.8","0.99"
"9_13","0.522772277227723","0.795979899497487","1.19097744360902","P05_07","0.84","0.59","0.89","1.34","ach_noj","0.76","0.58","0.88","1.37","P00_99","0.62","0.82","1.15","1.52"
"9_14","0.970165745856354","1.17170818505338","1.42224622030238","cJ20_J22","1","0.8","1.02","1.28","ach_noj","0.78","0.75","0.95","1.19","E00_99","0.46","0.74","0.93","1.17"
"9_15","0.725461098155607","0.870737913486005","1.03950546964733","cJ20_J22","1","0.69","0.86","1.07","E00_99","0.94","0.68","0.88","1.19","P05_07","0.54","0.68","0.87","1.17"
"9_16","0.737963693764799","0.898174831892411","1.121103117506","cJ20_J22","1","0.58","0.78","1.09","P05_07","0.52","0.59","0.79","1.07","P00_99","0.24","0.59","0.79","1.11"
"9_17","0.587976539589443","0.729090909090909","0.92183908045977","cJ20_J22","1","0.53","0.72","1.02","ach_noj","0.29","0.54","0.72","0.93","P05_07","0.19","0.54","0.71","0.91"
"9_19","0.570416666666667","0.680755842864247","0.837308868501529","cJ20_J22","1","0.67","0.81","1.07","P05_07","0.33","0.66","0.79","0.95","P00_99","0.14","0.66","0.79","0.95"
"9_2","0.747079459475435","0.962546816479401","1.2238459901243","Q00_99","0.82","0.82","1.03","1.26","ach_noj","0.38","0.83","1.04","1.27","P00_99","0.33","0.84","1.03","1.25"
"9_20","0.867956744450768","1.0079312623926","1.1895707971176","cJ20_J22","1","0.7","1.02","1.48","P00_99","0.12","0.75","1.1","1.54","ach_noj","0.11","0.87","1.28","1.61"
"9_21","0.73114417650077","0.850238663484487","0.980055020632737","cJ20_J22","1","0.64","0.8","0.98","ach_noj","0.15","0.63","0.78","0.97","P00_99","0.14","0.69","0.87","1.07"
"9_22","0.612762781484374","0.802955665024631","1.1242026855236","P00_99","0.52","0.6","0.77","0.96","ach_noj","0.49","0.63","0.77","0.95","P05_07","0.2","0.62","0.77","0.95"
"9_24","0.535266118563392","0.710511200459506","0.891226438273054","cJ20_J22","1","0.51","0.69","0.95","P00_99","0.46","0.61","0.78","1.02","P05_07","0.39","0.58","0.75","1.01"
