"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.97,1.1,1.25,"0.843642801814762","0.893734247699431","0.95473343826317","m_466","1","0.77","0.87","0.95","X_760_779","0.21","0.85","0.91","0.97","ach_sid_noresp","0.12","0.85","0.91","0.97"
"1",0.85,0.98,1.11,"0.861686598607671","0.915729839780473","0.959871213076587","m_466","1","0.84","0.92","0.98","X_001_139_SY","0.81","0.84","0.92","0.98","X_360_389_SY","0.17","0.82","0.91","0.97"
"2",0.76,0.86,0.98,"0.883843479923046","0.928571428571429","0.974800313309262","m_466","1","0.86","0.92","0.99","X_780_799","0.93","0.86","0.94","1.02","X_800_999","0.85","0.85","0.93","1.01"
"3",0.78,0.87,0.98,"0.903142531882304","0.967618311993108","1.03364560884474","m_466","1","0.84","0.92","1.04","X_780_799","0.72","0.82","0.9","1.04","ach_sid_noresp","0.7","0.82","0.89","1.03"
"4",0.78,0.88,0.99,"0.856249176595193","0.964656856361505","1.29554231274878","m_466","0.94","0.81","0.86","0.95","X_240_279","0.76","0.84","0.96","1.22","X_780_799","0.25","0.85","1.12","1.25"
"5",0.84,0.96,1.08,"1.00127980330205","1.1207664264047","1.23776516891123","m_466","1","0.7","0.95","1.05","m_599","0.55","0.75","0.96","1.04","X_V00_V91","0.44","0.81","0.96","1.03"
"6",0.82,0.9,0.99,"0.842800377580577","0.924341010723032","0.995966959490719","m_466","1","0.54","0.74","1.01","X_240_279","0.99","0.71","0.94","1.04","m_574","0.64","0.78","0.92","1.04"
"7",0.82,0.89,0.97,"0.860834655125292","1.02144221104737","1.0837575516027","m_466","1","0.56","0.73","1.05","X_240_279","0.9","0.51","0.76","0.85","m_574","0.82","0.49","0.65","0.82"
"8",0.81,0.88,0.97,"0.912768970098785","0.970477515147375","1.03219018510009","m_466","1","0.72","0.82","0.92","X_240_279","1","0.61","0.7","0.78","ach_sid_noresp","1","0.66","0.73","0.83"
"9",0.84,0.94,1.06,"0.881024438363468","0.929711550898978","0.971719470168846","m_466","1","0.73","0.82","0.99","X_001_139_SY","0.95","0.73","0.79","0.98","m_0088","0.03","0.73","0.81","0.98"
