"age_group","date","J12_18","A10_B99_nopneumo","A17","A18","A19","A39","A41","B20_24","B34","B96","B97","B99","C00_D48","D50_89","E00_99","E10_14","E40_46","G00_99_SY","H00_99_SY","I00_99","I60_64","cJ20_J22","K00_99","K35","K80","L00_99","M00_99","N00_99","N39","P00_99","P05_07","Q00_99","S00_T99","U00_99","V00_Y99","Z00_99","ach_noj"
"92_1",2001-01-01,14,9,0,0,0,0,0,0,1,0,0,0,6,0,4,0,0,0,1,1,0,2,10,0,0,5,0,6,3,18,7,5,5,0,0,7,97
"92_1",2001-02-01,7,4,0,0,0,0,1,1,0,0,0,0,8,1,5,0,0,1,5,1,0,4,4,0,0,2,1,5,4,27,11,2,9,0,0,3,101
"92_1",2001-03-01,8,4,0,0,0,0,2,0,0,0,0,0,8,2,5,0,0,0,1,0,0,5,10,0,0,2,1,4,2,14,4,11,8,0,0,7,96
"92_1",2001-04-01,15,7,0,0,0,0,0,0,1,0,0,0,8,0,3,0,0,2,1,0,0,6,3,0,0,4,1,9,3,17,4,2,6,0,0,2,75
"92_1",2001-05-01,39,6,0,0,0,0,3,0,0,0,0,0,7,1,2,0,1,1,4,1,0,25,7,0,0,3,4,4,1,32,12,6,4,0,0,7,108
"92_1",2001-06-01,59,6,0,0,0,0,2,0,1,0,0,0,7,1,4,0,0,1,0,3,0,39,8,0,0,1,1,5,4,25,7,12,10,0,0,6,131
"92_1",2001-07-01,49,8,0,0,0,1,1,0,1,0,0,0,5,0,5,0,0,3,0,3,1,19,5,0,0,3,2,5,1,28,8,10,9,0,0,2,110
"92_1",2001-08-01,36,14,0,0,0,0,4,0,1,0,0,0,11,0,1,0,0,2,1,1,0,6,13,0,0,0,0,7,2,38,12,6,7,0,0,6,127
"92_1",2001-09-01,16,7,0,0,0,0,1,0,1,0,0,0,7,0,3,0,0,0,0,0,0,9,6,0,0,1,1,6,4,29,8,11,6,0,0,4,100
"92_1",2001-10-01,23,3,0,0,0,0,0,0,2,0,0,0,8,2,0,0,0,0,1,2,0,5,12,0,0,2,0,9,6,16,3,7,13,0,0,3,92
"92_1",2001-11-01,20,2,0,0,0,0,0,0,0,0,0,0,6,1,7,0,1,2,1,1,0,7,12,1,0,0,1,3,0,24,4,8,5,0,0,4,97
"92_1",2001-12-01,16,11,0,0,0,0,1,0,0,0,0,0,6,0,5,0,1,0,0,0,0,4,14,0,0,1,1,9,5,26,8,9,12,0,0,4,118
"92_1",2002-01-01,7,5,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,2,1,1,0,2,6,0,0,1,0,3,1,24,4,8,5,0,0,8,84
"92_1",2002-02-01,7,7,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,3,0,0,5,9,0,0,1,1,6,1,26,4,21,5,0,0,6,104
"92_1",2002-03-01,13,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,5,0,5,7,0,0,3,0,7,3,24,7,3,7,0,0,6,95
"92_1",2002-04-01,36,7,0,0,0,0,1,0,4,0,0,0,1,1,3,0,1,0,1,2,0,12,6,0,0,1,0,5,3,31,6,4,8,0,0,3,97
"92_1",2002-05-01,44,4,0,0,0,0,1,0,0,0,0,1,0,1,4,0,1,1,1,1,0,42,12,0,0,1,1,5,0,33,10,9,8,0,0,4,114
"92_1",2002-06-01,24,4,0,0,0,0,1,0,0,0,0,0,3,1,2,0,1,2,0,1,0,28,6,1,0,1,0,8,3,20,8,17,11,0,0,7,96
"92_1",2002-07-01,31,4,0,0,0,0,0,0,1,0,0,0,3,1,2,0,0,2,2,5,0,8,7,1,0,2,0,4,1,23,6,5,7,0,0,7,90
"92_1",2002-08-01,32,1,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,0,2,0,14,7,0,0,1,0,5,1,25,11,9,16,0,0,6,93
"92_1",2002-09-01,27,3,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,1,3,0,8,5,0,0,3,1,6,3,23,7,9,6,0,0,3,86
"92_1",2002-10-01,30,7,0,0,0,0,1,0,2,0,0,0,1,0,4,0,1,0,1,3,0,6,2,0,0,2,1,3,2,24,11,13,7,0,0,1,88
"92_1",2002-11-01,14,12,0,0,0,0,5,0,1,0,0,0,3,1,0,0,0,0,0,0,0,2,3,0,0,3,0,8,1,39,16,3,11,0,0,5,97
"92_1",2002-12-01,10,4,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,3,1,0,2,3,0,0,3,0,3,2,14,2,5,5,0,0,0,54
"92_1",2003-01-01,6,7,0,0,0,1,0,0,1,0,0,0,5,1,0,0,0,1,5,1,0,2,1,0,0,2,0,6,3,21,2,9,1,0,0,2,74
"92_1",2003-02-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2,0,11,2,4,2,0,0,0,25
"92_1",2003-03-01,3,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,1,1,0,0,1,0,0,1,0,8,3,13,5,8,4,0,0,0,50
"92_1",2003-04-01,9,7,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,0,1,1,5,8,0,0,3,1,2,2,37,9,8,6,0,0,1,109
"92_1",2003-05-01,18,7,0,0,0,0,1,0,1,0,0,0,13,1,2,0,0,0,1,0,0,16,5,0,0,0,0,3,2,36,5,12,7,0,0,3,116
"92_1",2003-06-01,61,2,0,0,0,0,0,0,1,0,0,0,11,0,1,0,0,3,1,0,0,26,4,0,0,3,0,5,4,27,9,6,11,0,0,1,83
"92_1",2003-07-01,40,5,0,0,0,0,2,0,1,0,0,0,6,0,2,0,0,3,0,1,0,35,6,0,0,0,0,6,2,23,6,6,7,0,0,0,73
"92_1",2003-08-01,23,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,13,7,0,0,2,1,7,2,33,8,9,9,0,0,1,88
"92_1",2003-09-01,18,5,0,0,0,0,1,0,1,0,0,0,6,1,1,0,0,1,4,2,0,3,8,1,0,1,0,6,5,22,2,9,6,0,0,2,83
"92_1",2003-10-01,14,8,0,0,0,0,1,0,1,0,0,0,7,3,3,0,0,0,1,1,0,6,3,0,0,3,0,4,2,34,9,6,9,0,0,0,94
"92_1",2003-11-01,21,11,0,0,0,0,1,0,1,0,0,0,5,0,2,0,0,1,1,2,1,7,8,0,0,4,0,8,2,31,4,7,6,0,0,1,97
"92_1",2003-12-01,17,5,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,3,0,0,4,8,0,0,6,1,5,1,32,9,8,14,0,0,0,102
